 _dewptm, _heatindexm, _hum, _pressurem, _tempm, _wdird, _rain
9,,27,1010,30,280,0
10,,32,-9999,28,0,0
11,,44,-9999,24,0,0
10,,41,1010,24,0,0
11,,47,1011,23,0,0
12,,56,1011,21,0,0
13,,60,1010,21,0,0
13,,60,-9999,21,0,0
13,,68,-9999,19,0,0
13,,68,1010,19,0,0
13,,68,1009,19,0,0
12,,64,1009,19,0,0
11,,60,1010,19,0,0
11,,60,1010,19,0,0
10,,52,1011,20,200,0
10,,46,1012,22,240,0
10,,44,1012,23,250,0
11,,39,1012,26,240,0
10,,32,1011,28,260,0
10,,29,1010,30,250,0
8,,24,1009,31,280,0
7,,22,1009,31,270,0
7,,22,1009,31,280,0
8,,25,1009,30,270,0
10,,34,1009,27,20,0
11,,41,1009,25,0,0
12,,53,1010,22,0,0
12,,56,1010,21,0,0
12,,64,1010,19,0,0
12,,60,1010,20,0,0
12,,64,1009,19,0,0
11,,60,1009,19,0,0
11,,68,1009,17,0,0
11,,68,1009,17,0,0
12,,72,1009,17,0,0
12,,72,1009,17,0,0
11,,68,1010,17,0,0
11,,72,1011,16,0,0
10,,63,1011,17,220,0
12,,64,1012,19,240,0
12,,53,1012,22,230,0
14,,60,1012,22,250,0
13,,44,1011,26,280,0
9,,30,1010,28,270,0
11,,35,1010,28,250,0
11,,33,1009,29,270,0
11,,33,1009,29,270,0
12,26.8,39,1009,27,280,0
12,,42,1010,26,0,0
14,,60,1010,22,0,0
13,,57,1011,22,0,0
13,,60,1011,21,0,0
12,,56,1011,21,0,0
13,,64,1011,20,0,0
12,,60,1011,20,0,0
12,,64,1011,19,0,0
13,,68,1010,19,0,0
12,,64,1010,19,0,0
13,,77,1010,17,0,0
13,,77,1010,17,0,0
12,,68,1011,18,0,0
11,,77,1012,15,220,0
11,,68,1013,17,0,0
12,,60,1014,20,0,0
12,,42,1013,26,210,0
12,27.5,37,1013,28,0,0
10,,32,1012,28,280,0
8,,27,1011,29,290,0
9,,29,1010,29,0,0
7,,25,1010,29,0,0
10,,34,1010,27,0,0
10,,39,1010,25,0,0
10,,44,1011,23,0,0
9,,46,1011,21,0,0
9,,46,1011,21,0,0
10,,59,1011,18,0,0
11,,64,1011,18,0,0
11,,68,1010,17,0,0
9,,38,1013,24,230,0
9,,34,1013,26,260,0
8,,27,1012,29,240,0
7,,23,1011,30,290,0
8,,25,1010,30,20,0
9,,30,1012,28,20,0
7,,25,1011,29,300,0
8,,27,1011,29,290,0
5,,22,1010,29,310,0
7,,26,1010,28,310,0
7,,32,1011,25,0,0
8,,36,1012,24,280,0
10,,52,1012,20,0,0
10,,56,1013,19,0,0
10,,56,1013,19,0,0
10,,56,1013,19,0,0
10,,59,1013,18,0,0
11,,68,1012,17,0,0
11,,72,1012,16,0,0
11,,72,1012,16,0,0
11,,77,1012,15,0,0
11,,77,1012,15,0,0
11,,68,1013,17,230,0
10,,59,1014,18,0,0
12,,64,1015,19,270,0
13,,53,1015,23,260,0
13,,47,1015,25,280,0
